mlbam,fangraphs,bbref,retro,last,first,birthYear
666622,21896,marqubr01,marqb001,Márquez,Brailyn,1999
121754,1011503,schacal01,schaa101,Schacht,Al,1892
502139,3219,stinsjo01,stinj001,Stinson,Josh,1988
113642,1003570,dunnemi01,dunnm001,Dunne,Mike,1962
112296,1002244,ciprifr01,ciprf101,Cipriani,Frank,1941
111774,1001732,burrojo01,burrj101,Burrows,John,1913
112830,1002771,criscda01,crisd102,Criscione,Dave,1951
434623,3369,morilju01,morij001,Morillo,Juan,1983
117511,1007357,larosjo01,laroj101,LaRose,John,1951
676979,27463,crochga01,crocg001,Crochet,Garrett,1999
113641,1003579,dunnto01,dunnt001,Dunn,Todd,1970
501687,8651,martelu01,martl003,Marte,Luis,1986
607333,12384,taylobe11,taylb003,Taylor,Beau,1990
425513,2081,brazecr01,brazc001,Brazell,Craig,1980
595441,12240,tracyma01,tracm001,Tracy,Matt,1988
115379,1005271,hamilda01,hamid101,Hamilton,Dave,1947
452215,6601,montzlu01,montl002,Montz,Luke,1983
457566,6282,burkegr01,burkg001,Burke,Greg,1982
114466,1004381,frymawo01,frymw101,Fryman,Woodie,1940
592329,12143,garcija03,garcj005,García,Jason,1992
120632,1010401,plympje01,plymj001,Plympton,Jeff,1965
592169,17237,briceau01,brica001,Brice,Austin,1992
627500,15524,tsengje01,tsenj001,Tseng,Jen-Ho,1994
111605,1001519,brownge01,browg102,Browne,George,1876
425428,1827,depaujo01,depaj002,De Paula,Jorge,1978
118371,1008161,martide01,martd001,Martínez,Dennis,1954
571602,7226,davidma02,davim005,Davidson,Matt,1991
817435,,rossho01,rossh101,Ross,Howard,1903
111922,1001875,campbbr01,campb102,Campbell,Bruce,1909
119131,1008872,millebi03,millb112,Miller,Bill,1910
119929,1009722,o'deake01,odeak101,O'Dea,Ken,1913
818005,,napolla01,napol101,Napoleon,Larry,1922
687931,31676,whiseca01,whisc001,Whisenhunt,Carson,2000
119639,1009437,nagleju01,naglj101,Nagle,Judge,1880
543507,6398,maytr01,may-t001,May,Trevor,1989
